//
//Main index      Other Papers index              About author
//
//Valid HTML 4.01 Transitional
//Names of characters in HTML and PostScript
//
//Below is a table of the ways of naming characters in HTML, and the names of the matching PostScript glyphs. (Data taken
//in 2005 from www.w3.org/TR/REC-html40/sgml/entities.html and www.adobe.com/devnet/opentype/archives/glyphlist.txt.)
//
//The few characters one might most often wish to copy-paste are available in Characters for copy-pasting.
//
//Julian D. A. Wiseman; December 2005, December 2007, March 2011.
//        Character                                       HTML                           PostScript
//                                                                                      glyph name(s)      Notes
//Dec.       Hex.         Name            Dec.            Hex.            Name
                                          &#160;          &#x00A0;        &nbsp;          nbspace
♢             ♢                             &#9826;         &#x2662;                        diamondsuitwhite                
♤             ♤                             &#9828;         &#x2664;                        spadesuitwhite  
♧             ♧                             &#9831;         &#x2667;                        clubsuitwhite   
♨             ♨                             &#9832;         &#x2668;                        hotsprings      
♩             ♩                             &#9833;         &#x2669;                        quarternote     
♪             ♪                             &#9834;         &#x266A;                        musicalnote     
♫             ♫                             &#9835;         &#x266B;                        eighthnotebeamed
musicalnotedbl  
♬             ♬                             &#9836;         &#x266C;                        beamedsixteenthnotes            
♭             ♭                             &#9837;         &#x266D;                        musicflatsign   
♯             ♯                             &#9839;         &#x266F;                        musicsharpsign  
✓             ✓                             &#10003;        &#x2713;                        checkmark       
➊             ➊                             &#10122;        &#x278A;                        onecircleinversesansserif       
➋             ➋                             &#10123;        &#x278B;                        twocircleinversesansserif       
➌             ➌                             &#10124;        &#x278C;                        threecircleinversesansserif     
➍             ➍                             &#10125;        &#x278D;                        fourcircleinversesansserif      
➎             ➎                             &#10126;        &#x278E;                        fivecircleinversesansserif      
➏             ➏                             &#10127;        &#x278F;                        sixcircleinversesansserif       
➐             ➐                             &#10128;        &#x2790;                        sevencircleinversesansserif     
➑             ➑                             &#10129;        &#x2791;                        eightcircleinversesansserif     
➒             ➒                             &#10130;        &#x2792;                        ninecircleinversesansserif      
➞             ➞                             &#10142;        &#x279E;                        arrowrightheavy 
　             　                             &#12288;        &#x3000;                        ideographicspace                
、             、                             &#12289;        &#x3001;                        ideographiccomma                
。             。                             &#12290;        &#x3002;                        ideographicperiod               
〃             〃                             &#12291;        &#x3003;                        dittomark       
〄             〄                             &#12292;        &#x3004;                        jis             
々             々                             &#12293;        &#x3005;                        ideographiciterationmark        
〆             〆                             &#12294;        &#x3006;                        ideographicclose                
〇             〇                             &#12295;        &#x3007;                        ideographiczero 
〈             〈                             &#12296;        &#x3008;                        anglebracketleft                
〉             〉                             &#12297;        &#x3009;                        anglebracketright               
《             《                             &#12298;        &#x300A;                        dblanglebracketleft             
》             》                             &#12299;        &#x300B;                        dblanglebracketright            
「             「                             &#12300;        &#x300C;                        cornerbracketleft               
」             」                             &#12301;        &#x300D;                        cornerbracketright              
『             『                             &#12302;        &#x300E;                        whitecornerbracketleft          
』             』                             &#12303;        &#x300F;                        whitecornerbracketright         
【             【                             &#12304;        &#x3010;                        blacklenticularbracketleft      
】             】                             &#12305;        &#x3011;                        blacklenticularbracketright     
〒             〒                             &#12306;        &#x3012;                        postalmark      
〓             〓                             &#12307;        &#x3013;                        getamark        
〔             〔                             &#12308;        &#x3014;                        tortoiseshellbracketleft        
〕             〕                             &#12309;        &#x3015;                        tortoiseshellbracketright       
〖             〖                             &#12310;        &#x3016;                        whitelenticularbracketleft      
〗             〗                             &#12311;        &#x3017;                        whitelenticularbracketright     
〘             〘                             &#12312;        &#x3018;                        whitetortoiseshellbracketleft   
〙             〙                             &#12313;        &#x3019;                        whitetortoiseshellbracketright  
〜             〜                             &#12316;        &#x301C;                        wavedash        
〝             〝                             &#12317;        &#x301D;                        quotedblprimereversed           
〞             〞                             &#12318;        &#x301E;                        quotedblprime   
〠             〠                             &#12320;        &#x3020;                        postalmarkface  
〡             〡                             &#12321;        &#x3021;                        onehangzhou     
〢             〢                             &#12322;        &#x3022;                        twohangzhou     
〣             〣                             &#12323;        &#x3023;                        threehangzhou   
〤             〤                             &#12324;        &#x3024;                        fourhangzhou    
〥             〥                             &#12325;        &#x3025;                        fivehangzhou    
〦             〦                             &#12326;        &#x3026;                        sixhangzhou     
〧             〧                             &#12327;        &#x3027;                        sevenhangzhou   
〨             〨                             &#12328;        &#x3028;                        eighthangzhou   
〩             〩                             &#12329;        &#x3029;                        ninehangzhou    
〶             〶                             &#12342;        &#x3036;                        circlepostalmark                
ぁ             ぁ                             &#12353;        &#x3041;                        asmallhiragana  
あ             あ                             &#12354;        &#x3042;                        ahiragana       
ぃ             ぃ                             &#12355;        &#x3043;                        ismallhiragana  
い             い                             &#12356;        &#x3044;                        ihiragana       
ぅ             ぅ                             &#12357;        &#x3045;                        usmallhiragana  
う             う                             &#12358;        &#x3046;                        uhiragana       
ぇ             ぇ                             &#12359;        &#x3047;                        esmallhiragana  
え             え                             &#12360;        &#x3048;                        ehiragana       
ぉ             ぉ                             &#12361;        &#x3049;                        osmallhiragana  
お             お                             &#12362;        &#x304A;                        ohiragana       
か             か                             &#12363;        &#x304B;                        kahiragana      
が             が                             &#12364;        &#x304C;                        gahiragana      
き             き                             &#12365;        &#x304D;                        kihiragana      
ぎ             ぎ                             &#12366;        &#x304E;                        gihiragana      
く             く                             &#12367;        &#x304F;                        kuhiragana      
ぐ             ぐ                             &#12368;        &#x3050;                        guhiragana      
け             け                             &#12369;        &#x3051;                        kehiragana      
げ             げ                             &#12370;        &#x3052;                        gehiragana      
こ             こ                             &#12371;        &#x3053;                        kohiragana      
ご             ご                             &#12372;        &#x3054;                        gohiragana      
さ             さ                             &#12373;        &#x3055;                        sahiragana      
ざ             ざ                             &#12374;        &#x3056;                        zahiragana      
し             し                             &#12375;        &#x3057;                        sihiragana      
じ             じ                             &#12376;        &#x3058;                        zihiragana      
す             す                             &#12377;        &#x3059;                        suhiragana      
ず             ず                             &#12378;        &#x305A;                        zuhiragana      
せ             せ                             &#12379;        &#x305B;                        sehiragana      
ぜ             ぜ                             &#12380;        &#x305C;                        zehiragana      
そ             そ                             &#12381;        &#x305D;                        sohiragana      
ぞ             ぞ                             &#12382;        &#x305E;                        zohiragana      
た             た                             &#12383;        &#x305F;                        tahiragana      
だ             だ                             &#12384;        &#x3060;                        dahiragana      
ち             ち                             &#12385;        &#x3061;                        tihiragana      
ぢ             ぢ                             &#12386;        &#x3062;                        dihiragana      
っ             っ                             &#12387;        &#x3063;                        tusmallhiragana 
つ             つ                             &#12388;        &#x3064;                        tuhiragana      
づ             づ                             &#12389;        &#x3065;                        duhiragana      
て             て                             &#12390;        &#x3066;                        tehiragana      
で             で                             &#12391;        &#x3067;                        dehiragana      
と             と                             &#12392;        &#x3068;                        tohiragana      
ど             ど                             &#12393;        &#x3069;                        dohiragana      
な             な                             &#12394;        &#x306A;                        nahiragana      
に             に                             &#12395;        &#x306B;                        nihiragana      
ぬ             ぬ                             &#12396;        &#x306C;                        nuhiragana      
ね             ね                             &#12397;        &#x306D;                        nehiragana      
の             の                             &#12398;        &#x306E;                        nohiragana      
は             は                             &#12399;        &#x306F;                        hahiragana      
ば             ば                             &#12400;        &#x3070;                        bahiragana      
ぱ             ぱ                             &#12401;        &#x3071;                        pahiragana      
ひ             ひ                             &#12402;        &#x3072;                        hihiragana      
び             び                             &#12403;        &#x3073;                        bihiragana      
ぴ             ぴ                             &#12404;        &#x3074;                        pihiragana      
ふ             ふ                             &#12405;        &#x3075;                        huhiragana      
ぶ             ぶ                             &#12406;        &#x3076;                        buhiragana      
ぷ             ぷ                             &#12407;        &#x3077;                        puhiragana      
へ             へ                             &#12408;        &#x3078;                        hehiragana      
べ             べ                             &#12409;        &#x3079;                        behiragana      
ぺ             ぺ                             &#12410;        &#x307A;                        pehiragana      
ほ             ほ                             &#12411;        &#x307B;                        hohiragana      
ぼ             ぼ                             &#12412;        &#x307C;                        bohiragana      
ぽ             ぽ                             &#12413;        &#x307D;                        pohiragana      
ま             ま                             &#12414;        &#x307E;                        mahiragana      
み             み                             &#12415;        &#x307F;                        mihiragana      
む             む                             &#12416;        &#x3080;                        muhiragana      
め             め                             &#12417;        &#x3081;                        mehiragana      
も             も                             &#12418;        &#x3082;                        mohiragana      
ゃ             ゃ                             &#12419;        &#x3083;                        yasmallhiragana 
や             や                             &#12420;        &#x3084;                        yahiragana      
ゅ             ゅ                             &#12421;        &#x3085;                        yusmallhiragana 
ゆ             ゆ                             &#12422;        &#x3086;                        yuhiragana      
ょ             ょ                             &#12423;        &#x3087;                        yosmallhiragana 
よ             よ                             &#12424;        &#x3088;                        yohiragana      
ら             ら                             &#12425;        &#x3089;                        rahiragana      
り             り                             &#12426;        &#x308A;                        rihiragana      
る             る                             &#12427;        &#x308B;                        ruhiragana      
れ             れ                             &#12428;        &#x308C;                        rehiragana      
ろ             ろ                             &#12429;        &#x308D;                        rohiragana      
ゎ             ゎ                             &#12430;        &#x308E;                        wasmallhiragana 
わ             わ                             &#12431;        &#x308F;                        wahiragana      
ゐ             ゐ                             &#12432;        &#x3090;                        wihiragana      
ゑ             ゑ                             &#12433;        &#x3091;                        wehiragana      
を             を                             &#12434;        &#x3092;                        wohiragana      
ん             ん                             &#12435;        &#x3093;                        nhiragana       
ゔ             ゔ                             &#12436;        &#x3094;                        vuhiragana      
゛             ゛                             &#12443;        &#x309B;                        voicedmarkkana  
゜             ゜                             &#12444;        &#x309C;                        semivoicedmarkkana              
ゝ             ゝ                             &#12445;        &#x309D;                        iterationhiragana               
ゞ             ゞ                             &#12446;        &#x309E;                        voicediterationhiragana         
ァ             ァ                             &#12449;        &#x30A1;                        asmallkatakana  
ア             ア                             &#12450;        &#x30A2;                        akatakana       
ィ             ィ                             &#12451;        &#x30A3;                        ismallkatakana  
イ             イ                             &#12452;        &#x30A4;                        ikatakana       
ゥ             ゥ                             &#12453;        &#x30A5;                        usmallkatakana  
ウ             ウ                             &#12454;        &#x30A6;                        ukatakana       
ェ             ェ                             &#12455;        &#x30A7;                        esmallkatakana  
エ             エ                             &#12456;        &#x30A8;                        ekatakana       
ォ             ォ                             &#12457;        &#x30A9;                        osmallkatakana  
オ             オ                             &#12458;        &#x30AA;                        okatakana       
カ             カ                             &#12459;        &#x30AB;                        kakatakana      
ガ             ガ                             &#12460;        &#x30AC;                        gakatakana      
キ             キ                             &#12461;        &#x30AD;                        kikatakana      
ギ             ギ                             &#12462;        &#x30AE;                        gikatakana      
ク             ク                             &#12463;        &#x30AF;                        kukatakana      
グ             グ                             &#12464;        &#x30B0;                        gukatakana      
ケ             ケ                             &#12465;        &#x30B1;                        kekatakana      
ゲ             ゲ                             &#12466;        &#x30B2;                        gekatakana      
コ             コ                             &#12467;        &#x30B3;                        kokatakana      
ゴ             ゴ                             &#12468;        &#x30B4;                        gokatakana      
サ             サ                             &#12469;        &#x30B5;                        sakatakana      
ザ             ザ                             &#12470;        &#x30B6;                        zakatakana      
シ             シ                             &#12471;        &#x30B7;                        sikatakana      
ジ             ジ                             &#12472;        &#x30B8;                        zikatakana      
ス             ス                             &#12473;        &#x30B9;                        sukatakana      
ズ             ズ                             &#12474;        &#x30BA;                        zukatakana      
セ             セ                             &#12475;        &#x30BB;                        sekatakana      
ゼ             ゼ                             &#12476;        &#x30BC;                        zekatakana      
ソ             ソ                             &#12477;        &#x30BD;                        sokatakana      
ゾ             ゾ                             &#12478;        &#x30BE;                        zokatakana      
タ             タ                             &#12479;        &#x30BF;                        takatakana      
ダ             ダ                             &#12480;        &#x30C0;                        dakatakana      
チ             チ                             &#12481;        &#x30C1;                        tikatakana      
ヂ             ヂ                             &#12482;        &#x30C2;                        dikatakana      
ッ             ッ                             &#12483;        &#x30C3;                        tusmallkatakana 
ツ             ツ                             &#12484;        &#x30C4;                        tukatakana      
ヅ             ヅ                             &#12485;        &#x30C5;                        dukatakana      
テ             テ                             &#12486;        &#x30C6;                        tekatakana      
デ             デ                             &#12487;        &#x30C7;                        dekatakana      
ト             ト                             &#12488;        &#x30C8;                        tokatakana      
ド             ド                             &#12489;        &#x30C9;                        dokatakana      
ナ             ナ                             &#12490;        &#x30CA;                        nakatakana      
ニ             ニ                             &#12491;        &#x30CB;                        nikatakana      
ヌ             ヌ                             &#12492;        &#x30CC;                        nukatakana      
ネ             ネ                             &#12493;        &#x30CD;                        nekatakana      
ノ             ノ                             &#12494;        &#x30CE;                        nokatakana      
ハ             ハ                             &#12495;        &#x30CF;                        hakatakana      
バ             バ                             &#12496;        &#x30D0;                        bakatakana      
パ             パ                             &#12497;        &#x30D1;                        pakatakana      
ヒ             ヒ                             &#12498;        &#x30D2;                        hikatakana      
ビ             ビ                             &#12499;        &#x30D3;                        bikatakana      
ピ             ピ                             &#12500;        &#x30D4;                        pikatakana      
フ             フ                             &#12501;        &#x30D5;                        hukatakana      
ブ             ブ                             &#12502;        &#x30D6;                        bukatakana      
プ             プ                             &#12503;        &#x30D7;                        pukatakana      
ヘ             ヘ                             &#12504;        &#x30D8;                        hekatakana      
ベ             ベ                             &#12505;        &#x30D9;                        bekatakana      
ペ             ペ                             &#12506;        &#x30DA;                        pekatakana      
ホ             ホ                             &#12507;        &#x30DB;                        hokatakana      
ボ             ボ                             &#12508;        &#x30DC;                        bokatakana      
ポ             ポ                             &#12509;        &#x30DD;                        pokatakana      
マ             マ                             &#12510;        &#x30DE;                        makatakana      
ミ             ミ                             &#12511;        &#x30DF;                        mikatakana      
ム             ム                             &#12512;        &#x30E0;                        mukatakana      
メ             メ                             &#12513;        &#x30E1;                        mekatakana      
モ             モ                             &#12514;        &#x30E2;                        mokatakana      
ャ             ャ                             &#12515;        &#x30E3;                        yasmallkatakana 
ヤ             ヤ                             &#12516;        &#x30E4;                        yakatakana      
ュ             ュ                             &#12517;        &#x30E5;                        yusmallkatakana 
ユ             ユ                             &#12518;        &#x30E6;                        yukatakana      
ョ             ョ                             &#12519;        &#x30E7;                        yosmallkatakana 
ヨ             ヨ                             &#12520;        &#x30E8;                        yokatakana      
ラ             ラ                             &#12521;        &#x30E9;                        rakatakana      
リ             リ                             &#12522;        &#x30EA;                        rikatakana      
ル             ル                             &#12523;        &#x30EB;                        rukatakana      
レ             レ                             &#12524;        &#x30EC;                        rekatakana      
ロ             ロ                             &#12525;        &#x30ED;                        rokatakana      
ヮ             ヮ                             &#12526;        &#x30EE;                        wasmallkatakana 
ワ             ワ                             &#12527;        &#x30EF;                        wakatakana      
ヰ             ヰ                             &#12528;        &#x30F0;                        wikatakana      
ヱ             ヱ                             &#12529;        &#x30F1;                        wekatakana      
ヲ             ヲ                             &#12530;        &#x30F2;                        wokatakana      
ン             ン                             &#12531;        &#x30F3;                        nkatakana       
ヴ             ヴ                             &#12532;        &#x30F4;                        vukatakana      
ヵ             ヵ                             &#12533;        &#x30F5;                        kasmallkatakana 
ヶ             ヶ                             &#12534;        &#x30F6;                        kesmallkatakana 
ヷ             ヷ                             &#12535;        &#x30F7;                        vakatakana      
ヸ             ヸ                             &#12536;        &#x30F8;                        vikatakana      
ヹ             ヹ                             &#12537;        &#x30F9;                        vekatakana      
ヺ             ヺ                             &#12538;        &#x30FA;                        vokatakana      
・             ・                             &#12539;        &#x30FB;                        dotkatakana     
ー             ー                             &#12540;        &#x30FC;                        prolongedkana   
ヽ             ヽ                             &#12541;        &#x30FD;                        iterationkatakana               
ヾ             ヾ                             &#12542;        &#x30FE;                        voicediterationkatakana         
ㄅ             ㄅ                             &#12549;        &#x3105;                        bbopomofo       
ㄆ             ㄆ                             &#12550;        &#x3106;                        pbopomofo       
ㄇ             ㄇ                             &#12551;        &#x3107;                        mbopomofo       
ㄈ             ㄈ                             &#12552;        &#x3108;                        fbopomofo       
ㄉ             ㄉ                             &#12553;        &#x3109;                        dbopomofo       
ㄊ             ㄊ                             &#12554;        &#x310A;                        tbopomofo       
ㄋ             ㄋ                             &#12555;        &#x310B;                        nbopomofo       
ㄌ             ㄌ                             &#12556;        &#x310C;                        lbopomofo       
ㄍ             ㄍ                             &#12557;        &#x310D;                        gbopomofo       
ㄎ             ㄎ                             &#12558;        &#x310E;                        kbopomofo       
ㄏ             ㄏ                             &#12559;        &#x310F;                        hbopomofo       
ㄐ             ㄐ                             &#12560;        &#x3110;                        jbopomofo       
ㄑ             ㄑ                             &#12561;        &#x3111;                        qbopomofo       
ㄒ             ㄒ                             &#12562;        &#x3112;                        xbopomofo       
ㄓ             ㄓ                             &#12563;        &#x3113;                        zhbopomofo      
ㄔ             ㄔ                             &#12564;        &#x3114;                        chbopomofo      
ㄕ             ㄕ                             &#12565;        &#x3115;                        shbopomofo      
ㄖ             ㄖ                             &#12566;        &#x3116;                        rbopomofo       
ㄗ             ㄗ                             &#12567;        &#x3117;                        zbopomofo       
ㄘ             ㄘ                             &#12568;        &#x3118;                        cbopomofo       
ㄙ             ㄙ                             &#12569;        &#x3119;                        sbopomofo       
ㄚ             ㄚ                             &#12570;        &#x311A;                        abopomofo       
ㄛ             ㄛ                             &#12571;        &#x311B;                        obopomofo       
ㄜ             ㄜ                             &#12572;        &#x311C;                        ebopomofo       
ㄝ             ㄝ                             &#12573;        &#x311D;                        ehbopomofo      
ㄞ             ㄞ                             &#12574;        &#x311E;                        aibopomofo      
ㄟ             ㄟ                             &#12575;        &#x311F;                        eibopomofo      
ㄠ             ㄠ                             &#12576;        &#x3120;                        aubopomofo      
ㄡ             ㄡ                             &#12577;        &#x3121;                        oubopomofo      
ㄢ             ㄢ                             &#12578;        &#x3122;                        anbopomofo      
ㄣ             ㄣ                             &#12579;        &#x3123;                        enbopomofo      
ㄤ             ㄤ                             &#12580;        &#x3124;                        angbopomofo     
ㄥ             ㄥ                             &#12581;        &#x3125;                        engbopomofo     
ㄦ             ㄦ                             &#12582;        &#x3126;                        erbopomofo      
ㄧ             ㄧ                             &#12583;        &#x3127;                        ibopomofo       
ㄨ             ㄨ                             &#12584;        &#x3128;                        ubopomofo       
ㄩ             ㄩ                             &#12585;        &#x3129;                        iubopomofo      
ㄱ             ㄱ                             &#12593;        &#x3131;                        kiyeokkorean    
ㄲ             ㄲ                             &#12594;        &#x3132;                        ssangkiyeokkorean               
ㄳ             ㄳ                             &#12595;        &#x3133;                        kiyeoksioskorean                
ㄴ             ㄴ                             &#12596;        &#x3134;                        nieunkorean     
ㄵ             ㄵ                             &#12597;        &#x3135;                        nieuncieuckorean                
ㄶ             ㄶ                             &#12598;        &#x3136;                        nieunhieuhkorean                
ㄷ             ㄷ                             &#12599;        &#x3137;                        tikeutkorean    
ㄸ             ㄸ                             &#12600;        &#x3138;                        ssangtikeutkorean               
ㄹ             ㄹ                             &#12601;        &#x3139;                        rieulkorean     
ㄺ             ㄺ                             &#12602;        &#x313A;                        rieulkiyeokkorean               
ㄻ             ㄻ                             &#12603;        &#x313B;                        rieulmieumkorean                
ㄼ             ㄼ                             &#12604;        &#x313C;                        rieulpieupkorean                
ㄽ             ㄽ                             &#12605;        &#x313D;                        rieulsioskorean 
ㄾ             ㄾ                             &#12606;        &#x313E;                        rieulthieuthkorean              
ㄿ             ㄿ                             &#12607;        &#x313F;                        rieulphieuphkorean              
ㅀ             ㅀ                             &#12608;        &#x3140;                        rieulhieuhkorean                
ㅁ             ㅁ                             &#12609;        &#x3141;                        mieumkorean     
ㅂ             ㅂ                             &#12610;        &#x3142;                        pieupkorean     
ㅃ             ㅃ                             &#12611;        &#x3143;                        ssangpieupkorean                
ㅄ             ㅄ                             &#12612;        &#x3144;                        pieupsioskorean 
ㅅ             ㅅ                             &#12613;        &#x3145;                        sioskorean      
ㅆ             ㅆ                             &#12614;        &#x3146;                        ssangsioskorean 
ㅇ             ㅇ                             &#12615;        &#x3147;                        ieungkorean     
ㅈ             ㅈ                             &#12616;        &#x3148;                        cieuckorean     
ㅉ             ㅉ                             &#12617;        &#x3149;                        ssangcieuckorean                
ㅊ             ㅊ                             &#12618;        &#x314A;                        chieuchkorean   
ㅋ             ㅋ                             &#12619;        &#x314B;                        khieukhkorean   
ㅌ             ㅌ                             &#12620;        &#x314C;                        thieuthkorean   
ㅍ             ㅍ                             &#12621;        &#x314D;                        phieuphkorean   
ㅎ             ㅎ                             &#12622;        &#x314E;                        hieuhkorean     
ㅏ             ㅏ                             &#12623;        &#x314F;                        akorean         
ㅐ             ㅐ                             &#12624;        &#x3150;                        aekorean        
ㅑ             ㅑ                             &#12625;        &#x3151;                        yakorean        
ㅒ             ㅒ                             &#12626;        &#x3152;                        yaekorean       
ㅓ             ㅓ                             &#12627;        &#x3153;                        eokorean        
ㅔ             ㅔ                             &#12628;        &#x3154;                        ekorean         
ㅕ             ㅕ                             &#12629;        &#x3155;                        yeokorean       
ㅖ             ㅖ                             &#12630;        &#x3156;                        yekorean        
ㅗ             ㅗ                             &#12631;        &#x3157;                        okorean         
ㅘ             ㅘ                             &#12632;        &#x3158;                        wakorean        
ㅙ             ㅙ                             &#12633;        &#x3159;                        waekorean       
ㅚ             ㅚ                             &#12634;        &#x315A;                        oekorean        
ㅛ             ㅛ                             &#12635;        &#x315B;                        yokorean        
ㅜ             ㅜ                             &#12636;        &#x315C;                        ukorean         
ㅝ             ㅝ                             &#12637;        &#x315D;                        weokorean       
ㅞ             ㅞ                             &#12638;        &#x315E;                        wekorean        
ㅟ             ㅟ                             &#12639;        &#x315F;                        wikorean        
ㅠ             ㅠ                             &#12640;        &#x3160;                        yukorean        
ㅡ             ㅡ                             &#12641;        &#x3161;                        eukorean        
ㅢ             ㅢ                             &#12642;        &#x3162;                        yikorean        
ㅣ             ㅣ                             &#12643;        &#x3163;                        ikorean         
ㅤ             ㅤ                             &#12644;        &#x3164;                        hangulfiller    
ㅥ             ㅥ                             &#12645;        &#x3165;                        ssangnieunkorean                
ㅦ             ㅦ                             &#12646;        &#x3166;                        nieuntikeutkorean               
ㅧ             ㅧ                             &#12647;        &#x3167;                        nieunsioskorean 
ㅨ             ㅨ                             &#12648;        &#x3168;                        nieunpansioskorean              
ㅩ             ㅩ                             &#12649;        &#x3169;                        rieulkiyeoksioskorean           
ㅪ             ㅪ                             &#12650;        &#x316A;                        rieultikeutkorean               
ㅫ             ㅫ                             &#12651;        &#x316B;                        rieulpieupsioskorean            
ㅬ             ㅬ                             &#12652;        &#x316C;                        rieulpansioskorean              
ㅭ             ㅭ                             &#12653;        &#x316D;                        rieulyeorinhieuhkorean          
ㅮ             ㅮ                             &#12654;        &#x316E;                        mieumpieupkorean                
ㅯ             ㅯ                             &#12655;        &#x316F;                        mieumsioskorean 
ㅰ             ㅰ                             &#12656;        &#x3170;                        mieumpansioskorean              
ㅱ             ㅱ                             &#12657;        &#x3171;                        kapyeounmieumkorean             
ㅲ             ㅲ                             &#12658;        &#x3172;                        pieupkiyeokkorean               
ㅳ             ㅳ                             &#12659;        &#x3173;                        pieuptikeutkorean               
ㅴ             ㅴ                             &#12660;        &#x3174;                        pieupsioskiyeokkorean           
ㅵ             ㅵ                             &#12661;        &#x3175;                        pieupsiostikeutkorean           
ㅶ             ㅶ                             &#12662;        &#x3176;                        pieupcieuckorean                
ㅷ             ㅷ                             &#12663;        &#x3177;                        pieupthieuthkorean              
ㅸ             ㅸ                             &#12664;        &#x3178;                        kapyeounpieupkorean             
ㅹ             ㅹ                             &#12665;        &#x3179;                        kapyeounssangpieupkorean        
ㅺ             ㅺ                             &#12666;        &#x317A;                        sioskiyeokkorean                
ㅻ             ㅻ                             &#12667;        &#x317B;                        siosnieunkorean 
ㅼ             ㅼ                             &#12668;        &#x317C;                        siostikeutkorean                
ㅽ             ㅽ                             &#12669;        &#x317D;                        siospieupkorean 
ㅾ             ㅾ                             &#12670;        &#x317E;                        sioscieuckorean 
ㅿ             ㅿ                             &#12671;        &#x317F;                        pansioskorean   
ㆀ             ㆀ                             &#12672;        &#x3180;                        ssangieungkorean                
ㆁ             ㆁ                             &#12673;        &#x3181;                        yesieungkorean  
ㆂ             ㆂ                             &#12674;        &#x3182;                        yesieungsioskorean              
ㆃ             ㆃ                             &#12675;        &#x3183;                        yesieungpansioskorean           
ㆄ             ㆄ                             &#12676;        &#x3184;                        kapyeounphieuphkorean           
ㆅ             ㆅ                             &#12677;        &#x3185;                        ssanghieuhkorean                
ㆆ             ㆆ                             &#12678;        &#x3186;                        yeorinhieuhkorean               
ㆇ             ㆇ                             &#12679;        &#x3187;                        yoyakorean      
ㆈ             ㆈ                             &#12680;        &#x3188;                        yoyaekorean     
ㆉ             ㆉ                             &#12681;        &#x3189;                        yoikorean       
ㆊ             ㆊ                             &#12682;        &#x318A;                        yuyeokorean     
ㆋ             ㆋ                             &#12683;        &#x318B;                        yuyekorean      
ㆌ             ㆌ                             &#12684;        &#x318C;                        yuikorean       
ㆍ             ㆍ                             &#12685;        &#x318D;                        araeakorean     
ㆎ             ㆎ                             &#12686;        &#x318E;                        araeaekorean    
㈀             ㈀                             &#12800;        &#x3200;                        kiyeokparenkorean               
㈁             ㈁                             &#12801;        &#x3201;                        nieunparenkorean                
㈂             ㈂                             &#12802;        &#x3202;                        tikeutparenkorean               
㈃             ㈃                             &#12803;        &#x3203;                        rieulparenkorean                
㈄             ㈄                             &#12804;        &#x3204;                        mieumparenkorean                
㈅             ㈅                             &#12805;        &#x3205;                        pieupparenkorean                
㈆             ㈆                             &#12806;        &#x3206;                        siosparenkorean 
㈇             ㈇                             &#12807;        &#x3207;                        ieungparenkorean                
㈈             ㈈                             &#12808;        &#x3208;                        cieucparenkorean                
㈉             ㈉                             &#12809;        &#x3209;                        chieuchparenkorean              
㈊             ㈊                             &#12810;        &#x320A;                        khieukhparenkorean              
㈋             ㈋                             &#12811;        &#x320B;                        thieuthparenkorean              
