//
//Main index      Other Papers index              About author
//
//Valid HTML 4.01 Transitional
//Names of characters in HTML and PostScript
//
//Below is a table of the ways of naming characters in HTML, and the names of the matching PostScript glyphs. (Data taken
//in 2005 from www.w3.org/TR/REC-html40/sgml/entities.html and www.adobe.com/devnet/opentype/archives/glyphlist.txt.)
//
//The few characters one might most often wish to copy-paste are available in Characters for copy-pasting.
//
//Julian D. A. Wiseman; December 2005, December 2007, March 2011.
//        Character                                       HTML                           PostScript
//                                                                                      glyph name(s)      Notes
//Dec.       Hex.         Name            Dec.            Hex.            Name
                                          &#160;          &#x00A0;        &nbsp;          nbspace
Μ             Μ             Μ             &#924;          &#x039C;        &Mu;            Mu              greek capital letter mu, U+039C
Ν             Ν             Ν             &#925;          &#x039D;        &Nu;            Nu              greek capital letter nu, U+039D
Ξ             Ξ             Ξ             &#926;          &#x039E;        &Xi;            Xi              greek capital letter xi, U+039E ISOgrk3
Ο             Ο             Ο             &#927;          &#x039F;        &Omicron;       Omicron         greek capital letter omicron, U+039F
Π             Π             Π             &#928;          &#x03A0;        &Pi;            Pi              greek capital letter pi, U+03A0 ISOgrk3
Ρ             Ρ             Ρ             &#929;          &#x03A1;        &Rho;           Rho             greek capital letter rho, U+03A1
Σ             Σ             Σ             &#931;          &#x03A3;        &Sigma;         Sigma           greek capital letter sigma, U+03A3 ISOgrk3
Τ             Τ             Τ             &#932;          &#x03A4;        &Tau;           Tau             greek capital letter tau, U+03A4
Υ             Υ             Υ             &#933;          &#x03A5;        &Upsilon;       Upsilon         greek capital letter upsilon, U+03A5 ISOgrk3
Φ             Φ             Φ             &#934;          &#x03A6;        &Phi;           Phi             greek capital letter phi, U+03A6 ISOgrk3
Χ             Χ             Χ             &#935;          &#x03A7;        &Chi;           Chi             greek capital letter chi, U+03A7
Ψ             Ψ             Ψ             &#936;          &#x03A8;        &Psi;           Psi             greek capital letter psi, U+03A8 ISOgrk3
Ω             Ω             Ω             &#937;          &#x03A9;        &Omega;         Omegagreek      greek capital letter omega, U+03A9 ISOgrk3
α             α             α             &#945;          &#x03B1;        &alpha;         alpha           greek small letter alpha, U+03B1 ISOgrk3
β             β             β             &#946;          &#x03B2;        &beta;          beta            greek small letter beta, U+03B2 ISOgrk3
γ             γ             γ             &#947;          &#x03B3;        &gamma;         gamma           greek small letter gamma, U+03B3 ISOgrk3
δ             δ             δ             &#948;          &#x03B4;        &delta;         delta           greek small letter delta, U+03B4 ISOgrk3
ε             ε             ε             &#949;          &#x03B5;        &epsilon;       epsilon         greek small letter epsilon, U+03B5 ISOgrk3
ζ             ζ             ζ             &#950;          &#x03B6;        &zeta;          zeta            greek small letter zeta, U+03B6 ISOgrk3
η             η             η             &#951;          &#x03B7;        &eta;           eta             greek small letter eta, U+03B7 ISOgrk3
θ             θ             θ             &#952;          &#x03B8;        &theta;         theta           greek small letter theta, U+03B8 ISOgrk3
ι             ι             ι             &#953;          &#x03B9;        &iota;          iota            greek small letter iota, U+03B9 ISOgrk3
κ             κ             κ             &#954;          &#x03BA;        &kappa;         kappa           greek small letter kappa, U+03BA ISOgrk3
λ             λ             λ             &#955;          &#x03BB;        &lambda;        lambda          greek small letter lambda, U+03BB ISOgrk3
